region,url,en_name,page_nb,community_nb,type
经开区,"https://zz.esf.fang.com/housing/14871__0_3_0_0_1_0_0_0/",jingkai,6,114,old
金水区,"https://zz.esf.fang.com/housing/14861__0_3_0_0_1_0_0_0/",jinshui,77,1537,old
管城区,"https://zz.esf.fang.com/housing/14863__0_3_0_0_1_0_0_0/",guancheng,32,628,old
中原区,"https://zz.esf.fang.com/housing/14862__0_3_0_0_1_0_0_0/",zhongyuan,34,611,old 
二七区,"https://zz.esf.fang.com/housing/14864__0_3_0_0_1_0_0_0/",erqi,37,722,old
高新区,"https://zz.esf.fang.com/housing/14870__0_3_0_0_1_0_0_0/",gaoxin,8,143,old
惠济区,"https://zz.esf.fang.com/housing/14865__0_3_0_0_1_0_0_0/",hiji,9,180,old
郑东新区,"https://zz.esf.fang.com/housing/842__0_3_0_0_1_0_0_0/",zhengdong,18,358,old
航空港区,"https://zz.esf.fang.com/housing/12100__0_3_0_0_1_0_0_0/",hangkonggang,4,69,old
金水区,"https://zz.newhouse.fang.com/house/s/jinshui/",jinshui,6,110,new
管城区,"https://zz.newhouse.fang.com/house/s/guancheng/",guancheng,4,65,new
中原区,"https://zz.newhouse.fang.com/house/s/zhongyuan/",zhongyuan,4,65,new
二七区,"https://zz.newhouse.fang.com/house/s/erqi/",erqi,3,59,new
经开区,"https://zz.newhouse.fang.com/house/s/jingkai/",jingkai,3,57,new
惠济区,"https://zz.newhouse.fang.com/house/s/huiji/",huiji,3,54,new
高新区,"https://zz.newhouse.fang.com/house/s/gaoxin/",gaoxin,2,39,new
郑东新区,"https://zz.newhouse.fang.com/house/s/zhengdongxinqu/",zhengdong,5,84,new
航空港区,"https://zz.newhouse.fang.com/house/s/hangkonggangqu/",hangkonggang,5,85,new